Experiment,Location,Structure,Position,Species,Type,Origin,Comments,Date_0,Length_0,Width1_0,Width2_0,EV_0,Condition_0,Cause_0,SGR_0,Comments_0,Date_1,Length_1,Width1_1,Width2_1,EV_1,Condition_1,Cause_1,SGR_1,Comments_1,Date_2,Length_2,Width1_2,Width2_2,EV_2,Condition_2,Cause_2,SGR_2,Comments_2,Date_3,Length_3,Width1_3,Width2_3,EV_3,Condition_3,Cause_3,SGR_3,Comments_3,Date_4,Length_4,Width1_4,Width2_4,EV_4,Condition_4,Cause_4,SGR_4,Comments_4,Date_5,Length_5,Width1_5,Width2_5,EV_5,Condition_5,Cause_5,SGR_5,Comments_5,Date_6,Length_6,Width1_6,Width2_6,EV_6,Condition_6,Cause_6,SGR_6,Comments_6,Date_7,Length_7,Width1_7,Width2_7,EV_7,Condition_7,Cause_7,SGR_7,Comments_7,Date_8,Length_8,Width1_8,Width2_8,EV_8,Condition_8,Cause_8,SGR_8,Comments_8,Date_9,Length_9,Width1_9,Width2_9,EV_9,Condition_9,Cause_9,SGR_9,Comments_9,Date_10,Length_10,Width1_10,Width2_10,EV_10,Condition_10,Cause_10,SGR_10,Comments_10,Date_11,Length_11,Width1_11,Width2_11,EV_11,Condition_11,Cause_11,SGR_11,Comments_11,Date_12,Length_12,Width1_12,Width2_12,EV_12,Condition_12,Cause_12,SGR_12,Comments_12
Mineral accretion,Firefly,11,8,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,6.3,5,2.1,63,100,,,,06-Jan-20,6.5,5,2.2,66,100,,,,20-Jan-20,6.2,4.7,3.2,75,100,,,,03-Feb-20,5.6,5.3,4.1,98,100,,,,17-Feb-20,5.89,5.54,4.22,110,100,,,to fire coral covered wire,02-Mar-20,6.1,5,4.8,115,100,,,,16-Mar-20,6.7,5.9,5.1,159,100,,,,24-Apr-20,7.2,5.4,5.1,157,100,,,,27-May-20,6.7,5.1,3.8,104,100,,,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,9,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,7,6.9,4.6,184,100,,,,06-Jan-20,7.2,6.9,5.1,205,100,,,,20-Jan-20,7.3,7.1,5.2,216,95,,,,03-Feb-20,7.4,7,5.5,226,100,,,,17-Feb-20,8.2,7.66,5.62,284,100,,,,02-Mar-20,8.3,7.7,5.7,293,100,,,,16-Mar-20,8.7,8.4,5,309,100,,,,24-Apr-20,7.8,7.8,6.1,295,100,,,,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,10,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,7.4,4.7,1.1,48,100,,,,06-Jan-20,7.4,4.7,1.3,52,100,,,,20-Jan-20,7.6,5,2.8,91,100,,,,03-Feb-20,8.1,5.2,3.3,114,100,,,,17-Feb-20,8.28,5.23,3.39,121,100,,,,02-Mar-20,9.3,5.5,3.7,151,100,,,,16-Mar-20,9.3,5.9,3.8,170,100,,,,24-Apr-20,9.5,5.9,4.1,186,100,,,,27-May-20,8.7,5.7,4.2,167,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,11,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,10.9,8.6,5.2,404,95,,,"low survival, check width2",06-Jan-20,11.9,9.4,4.5,446,100,,,recovered,20-Jan-20,11.8,9.8,5,509,95,,,,03-Feb-20,11.7,9.9,5.1,516,95,,,,17-Feb-20,11.63,9.78,5.3,519,100,,,,02-Mar-20,12.9,10.5,5.8,675,100,,,,16-Mar-20,13.3,10.6,6.3,745,100,,,,24-Apr-20,14,11.8,7.3,"1,000",100,,,,27-May-20,14.5,11.9,7.6,"1,086",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,12,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,6.8,8.2,4.8,227,100,,,,06-Jan-20,8.1,6.7,7.6,325,100,,,different angle for height,20-Jan-20,8.1,6.9,7.5,331,100,,,,03-Feb-20,8.4,7.2,7.1,337,100,,,,17-Feb-20,8.71,7.89,8.18,442,100,,,,02-Mar-20,9,8,8.6,488,100,,,,16-Mar-20,9,8.4,9.3,552,100,,,,24-Apr-20,8.9,8.1,9.7,547,70,,,can't see base in 2nd pic,27-May-20,8.3,5.8,7.6,295,30,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,13,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,8.2,7,6,273,100,,,,06-Jan-20,9.1,7,7.3,367,100,,,,20-Jan-20,10.2,9.2,6.2,476,90,,,,03-Feb-20,9.9,8.1,7.4,469,95,,,,17-Feb-20,9.8,9.36,7.45,544,95,,,,02-Mar-20,9.8,9.6,8.3,619,95,,,,16-Mar-20,10.6,9.1,8.9,669,95,,,,24-Apr-20,10.2,8.8,8.9,624,95,,,,27-May-20,11,8.8,6.2,482,90,,,base?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,14,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,5,1.5,5.8,52,100,,,,06-Jan-20,5,1.7,5.9,56,100,,,,20-Jan-20,5.5,2,6.4,74,95,,,,03-Feb-20,6,2.2,7,99,90,,,,17-Feb-20,5.3,2.62,7.2,100,100,,,angle?broke?,02-Mar-20,5.3,2.7,7.9,117,95,,,,16-Mar-20,6,3.2,7.5,136,95,,,bleach,24-Apr-20,3.7,1.6,7.8,64,90,,,dying,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,15,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,,,,,0,,,dead,06-Jan-20,,,,,0,,,dead,20-Jan-20,,,,,0,,,dead,03-Feb-20,,,,,0,,,dead,17-Feb-20,,,,,0,,,dead,02-Mar-20,,,,,0,,,dead,16-Mar-20,,,,,0,,,dead,24-Apr-20,,,,,0,,,dead,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,11,16,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,10.9,6.7,5.2,304,100,,,,06-Jan-20,10.5,6.4,5.8,305,100,,,different angle,20-Jan-20,10.6,6.7,5.8,323,95,,,,03-Feb-20,10.8,7.6,5.8,378,95,,,,17-Feb-20,10.94,7.69,5.84,393,100,,,,02-Mar-20,12.2,8,6,468,95,,,,16-Mar-20,12.3,8.6,5.7,491,95,,,,24-Apr-20,13.2,9.5,5.7,598,95,,,,27-May-20,12.8,10.3,5.9,654,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,1,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,7.3,4.8,4.9,133,95,,,,06-Jan-20,7.4,4.8,5.3,146,100,,,,20-Jan-20,7.4,4.9,5.6,160,95,,,little broken,03-Feb-20,7.7,5.1,5.9,183,95,,,,17-Feb-20,7.99,5.25,6.13,203,100,,,,02-Mar-20,8.2,5.5,6.1,216,95,,,,16-Mar-20,8.2,5.7,5.9,218,95,,,,24-Apr-20,8.2,6.1,5.1,200,95,,,,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,2,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,7.1,5.9,4.4,146,100,,,,06-Jan-20,7.2,6,4.8,164,100,,,,20-Jan-20,7.1,5.5,5.4,162,100,,,,03-Feb-20,7.1,5.6,5.4,166,100,,,,17-Feb-20,7.24,6.4,5.59,204,100,,,,02-Mar-20,7.6,5.9,5.8,203,100,,,,16-Mar-20,8.2,5.7,6.6,242,100,,,,24-Apr-20,8.3,5.2,3.4,122,65,,,BROKEN,27-May-20,8.5,5.2,3.6,129,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,3,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,13.1,8.5,7.3,646,100,,,pale,06-Jan-20,13.8,9,7.9,769,100,,,,20-Jan-20,14.3,8.8,9.5,943,100,,,,03-Feb-20,13.8,8.8,9.7,925,100,,,,17-Feb-20,14.47,7.65,9.69,854,100,,,,02-Mar-20,15.6,8.3,10.7,"1,103",100,,,,16-Mar-20,15.5,8.6,9.5,991,95,,,anGLE,24-Apr-20,15.1,9.7,9,"1,033",95,,,,27-May-20,15.8,9.4,10.3,"1,204",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,4,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,8.2,4.2,6.1,172,100,,,,06-Jan-20,8.7,4.4,6.1,187,100,,,,20-Jan-20,9,4.7,5.8,195,100,,,,03-Feb-20,9.1,4.7,6.3,216,100,,,,17-Feb-20,9.16,4.78,6.43,226,100,,,,02-Mar-20,10,5.1,7.4,310,100,,,,16-Mar-20,11.2,5.5,7.9,394,100,,,,24-Apr-20,11.4,5.7,8.1,425,95,,,,27-May-20,10.8,5.5,7.9,381,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,5,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,7.7,5.2,5.8,182,100,,,check width2,06-Jan-20,7.8,5.2,5.9,189,100,,,,20-Jan-20,7.6,6.2,5.6,205,95,,,,03-Feb-20,7.8,5.4,5.6,183,95,,,,17-Feb-20,8.24,6.09,5.85,231,100,,,,02-Mar-20,8.7,6.3,5.9,250,100,,,,16-Mar-20,9,7.5,6.4,339,100,,,,24-Apr-20,9.4,7.7,6.5,366,100,,,,27-May-20,2,1,1,2,10,,,dead (not),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,6,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,12.4,5,7.7,391,100,,,,06-Jan-20,12.4,5.8,8.6,507,100,,,,20-Jan-20,12.2,5.9,8.8,520,95,,,,03-Feb-20,12.3,5.7,9.3,546,100,,,,17-Feb-20,12.76,6.67,10.06,701,100,,,,02-Mar-20,12.8,7,10,730,100,,,,16-Mar-20,13.9,6.7,9.8,741,95,,,,24-Apr-20,13.6,6.8,10,753,100,,,Cant see base,27-May-20,14,8.3,9.5,871,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,7,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,3.8,1.9,7.1,61,95,,,,06-Jan-20,4.1,1.8,7.3,67,95,,,,20-Jan-20,2.6,1.5,7.3,40,90,,,angle; broke,03-Feb-20,2.6,1.5,8.5,51,90,,,,17-Feb-20,3.21,1.62,8.01,58,100,,,,02-Mar-20,3.6,2,8.1,71,95,,,,16-Mar-20,3.9,1.9,8.4,82,95,,,,24-Apr-20,3.3,1.6,8.9,72,95,,,dying- can't see base,27-May-20,3.5,1.9,5,33,90,,,base?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,8,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,8,2.1,5.1,83,100,,,,06-Jan-20,8.2,2.3,5.3,93,100,,,,20-Jan-20,8.7,2.2,5.5,103,100,,,,03-Feb-20,8.9,3,6.3,152,100,,,,17-Feb-20,8.93,3.09,6.66,167,100,,,,02-Mar-20,9.4,3.1,7.1,193,100,,,,16-Mar-20,8.8,3.1,8,215,100,,,,24-Apr-20,10.1,3,8,241,100,,,cant see base,27-May-20,10.2,3,8,245,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,9,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,5.3,3.8,4.5,72,100,,,,06-Jan-20,6.3,3.8,5.1,95,100,,,,20-Jan-20,6.2,3.9,5.4,106,95,,,,03-Feb-20,6.4,4.2,5.6,122,100,,,,17-Feb-20,6.6,4.49,5.69,134,100,,,,02-Mar-20,7.6,5.3,5.7,183,100,,,,16-Mar-20,8.5,5.7,6,231,100,,,,24-Apr-20,9.3,6.2,6.6,298,100,,,,27-May-20,9.4,6.2,6.9,317,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,10,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,6.7,7.3,4.9,194,95,,,,06-Jan-20,8.2,5.4,5.3,183,95,,,,20-Jan-20,8.4,5.4,5.5,194,100,,,,03-Feb-20,8.8,5.8,5.7,229,100,,,,17-Feb-20,9.08,6.02,6.2,266,100,,,,02-Mar-20,9.4,6.3,6.4,300,100,,,,16-Mar-20,9.6,6,7,319,100,,,bleach,24-Apr-20,9.7,6.6,6.6,331,95,,,,27-May-20,9.9,6.4,6.5,322,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,11,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,6.8,5.5,6.2,184,95,,,,06-Jan-20,6.8,5.6,6.3,186,95,,,,20-Jan-20,7.4,5.7,6.8,229,100,,,,03-Feb-20,8.2,6.2,7,280,100,,,,17-Feb-20,8.14,6.14,7.82,311,100,,,,02-Mar-20,8.4,6.4,7.6,326,100,,,,16-Mar-20,8.4,6.5,7.5,324,100,,,,24-Apr-20,8.3,6.1,7.8,313,100,,,,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,12,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,8.9,8.3,6.4,375,100,,,,06-Jan-20,9.5,7.8,6.4,377,100,,,,20-Jan-20,10.2,7.2,6.4,372,95,,,,03-Feb-20,10.2,7.2,6.6,380,100,,,,17-Feb-20,10.67,7.46,6.98,437,100,,,,02-Mar-20,11,8.1,7.1,498,100,,,,16-Mar-20,10.6,9,7.6,577,100,,,,24-Apr-20,10.8,9.2,7.7,605,90,,,,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,13,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,9.5,4.3,2.5,84,100,,,,06-Jan-20,9.7,4.3,3.1,104,100,,,,20-Jan-20,9.8,4.5,3.4,119,100,,,,03-Feb-20,10,4.5,3.4,123,100,,,,17-Feb-20,10.05,4.54,3.68,133,100,,,,02-Mar-20,10.7,5.2,4,176,100,,,,16-Mar-20,11,5.5,4.4,211,100,,,,24-Apr-20,11.1,5.6,4.7,234,95,,,,27-May-20,11.1,5.6,5.1,254,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,14,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,7.5,4.8,6.2,179,95,,,,06-Jan-20,7.9,5,6.3,198,100,,,,20-Jan-20,8.1,5.5,6.1,213,95,,,,03-Feb-20,8.5,5.4,6.6,241,100,,,,17-Feb-20,8.69,4.97,7.16,251,100,,,,02-Mar-20,8.9,5,7.7,282,100,,,,16-Mar-20,9.1,5.9,7.7,333,100,,,,24-Apr-20,9,6.4,7.8,354,95,,,cant see base,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,15,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,7.9,4.4,6.9,198,100,,,Pic missing in database,06-Jan-20,8.8,5.4,7,266,100,,,,20-Jan-20,9.2,6.1,7,313,95,,,,03-Feb-20,10,6.6,7.2,374,100,,,,17-Feb-20,10.1,6.83,7.21,391,100,,,,02-Mar-20,10.6,7.2,8.4,505,95,,,,16-Mar-20,12.4,8.2,8.6,691,100,,,,24-Apr-20,12.9,8.1,8.7,715,100,,,,27-May-20,13.4,8.4,9.3,819,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,12,16,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,4.3,0.7,5.9,37,90,,,check width2,06-Jan-20,4.4,1.3,5.5,39,100,,,"Different angle, can't see that it goes below the structure",20-Jan-20,5.2,4.6,4.9,92,95,,,,03-Feb-20,5.2,4.3,5.2,92,80,,,,17-Feb-20,5.9,5.05,5.48,128,95,,,,02-Mar-20,5.7,4.8,6.1,133,95,,,,16-Mar-20,5.1,4.7,5.8,110,90,,,base died,24-Apr-20,5.1,4.7,5.9,111,90,,,,27-May-20,1,1,1,1,10,,,dead (not),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,1,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,11.8,6.8,6,376,95,,,,06-Jan-20,13,7.2,6.3,460,100,,,,20-Jan-20,13,7.2,6.7,491,100,,,,03-Feb-20,12.6,7.2,7.4,525,100,,,,17-Feb-20,12.96,7.13,7.38,536,100,,,,02-Mar-20,14,7.5,7.4,608,100,,,,16-Mar-20,13.8,7.8,7.7,649,100,,,,24-Apr-20,13.8,8.3,7.8,704,100,,,,27-May-20,2,1,1,2,10,,,dead (not),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,2,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,9.4,4.3,3.3,106,85,,,,06-Jan-20,9.6,4.3,3.7,118,100,,,,20-Jan-20,9.9,5,3.8,150,95,,,,03-Feb-20,10.2,4.4,4.4,155,100,,,,17-Feb-20,10.97,4.74,4.3,176,100,,,,02-Mar-20,11.7,4.8,4.6,203,100,,,,16-Mar-20,12,4.4,5.2,217,100,,,,24-Apr-20,12.4,4,5.6,227,95,,,,27-May-20,12.1,4.4,5.9,253,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,3,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,7,6,6,195,70,,,,06-Jan-20,7.1,6.2,6.1,213,80,,,,20-Jan-20,7.3,6,4.8,170,80,,,alive only,03-Feb-20,7.7,6.5,4.9,198,80,,,,17-Feb-20,7.9,6.95,5.8,252,90,,,,02-Mar-20,7.3,6.8,5.9,229,90,,,1/3 dead,16-Mar-20,7.9,7.1,5.2,233,85,,,,24-Apr-20,8.2,6.9,5.2,234,80,,,,27-May-20,8.6,7.1,5.5,268,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,4,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,9.3,6.7,4,208,80,,,,06-Jan-20,9.3,6.8,4.8,246,80,,,,20-Jan-20,9.6,7.1,4.7,265,90,,,,03-Feb-20,9.9,7.5,5.2,315,85,,,,17-Feb-20,10.09,7.51,5.18,319,95,,,,02-Mar-20,10.2,7.8,5.5,350,95,,,,16-Mar-20,10.2,7.7,5.5,347,95,,,bleached,24-Apr-20,10.3,7.9,5.3,351,95,,,,27-May-20,8.5,6.8,5.2,238,70,,,dying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,5,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,6.1,3.2,3.5,55,90,,,,06-Jan-20,6.5,3.4,3.5,59,10,,,"check length, width1 and width2",20-Jan-20,6.5,3.5,3.5,61,90,,,,03-Feb-20,6.9,3.3,3.6,64,90,,,,17-Feb-20,7.24,3.38,3.59,69,90,,,,02-Mar-20,7.2,3.5,3.6,71,95,,,,16-Mar-20,7.1,3.6,3.7,72,95,,,bleach,24-Apr-20,7.2,3.6,3.7,76,50,,,dying,27-May-20,7.1,4,3.8,85,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,6,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,11.9,6.2,10,618,85,,,,06-Jan-20,12,6.2,10.3,641,100,,,,20-Jan-20,13.7,6.7,10.4,779,90,,,,03-Feb-20,14.3,7.1,10.9,912,95,,,,17-Feb-20,15.07,6.65,10.7,891,90,,,,02-Mar-20,12.2,8.7,8.5,704,90,,,base dying,16-Mar-20,12.4,9.4,9.7,887,90,,,,24-Apr-20,16.4,6.3,9.4,793,90,,,base dying,27-May-20,17,6.8,9.8,923,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,7,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,7.5,4.2,4.6,113,100,,,check width1,06-Jan-20,7.6,4.1,4.6,114,100,,,angle,20-Jan-20,7.8,3.9,4.7,114,95,,,,03-Feb-20,7.7,3.1,6,125,95,,,,17-Feb-20,7.86,3.99,6,154,95,,,,02-Mar-20,8.5,4.1,5.7,161,100,,,,16-Mar-20,8.8,4.2,5.5,163,95,,,1st bleach,24-Apr-20,9.3,4.3,5.6,178,90,,,,27-May-20,9.4,4,5.8,178,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,8,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,5.8,5.6,5.2,130,95,,,,06-Jan-20,6.8,5.8,5.5,168,100,,,,20-Jan-20,7.5,6.5,5.6,217,100,,,,03-Feb-20,7.9,6.8,6.1,259,100,,,,17-Feb-20,8.2,7.08,6.19,284,100,,,,02-Mar-20,9.1,7.7,6.6,365,100,,,,16-Mar-20,9.1,7.8,6.9,383,100,,,,24-Apr-20,9,7.8,6.9,380,100,,,,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,9,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,9,6.9,3.7,198,80,,,low survival,06-Jan-20,9.3,7.2,3.8,221,90,,,recovered,20-Jan-20,9.8,8,4,277,90,,,,03-Feb-20,10.1,8.3,4.4,322,95,,,,17-Feb-20,10.16,8.74,4.53,351,90,,,,02-Mar-20,10.5,8.9,5,396,90,,,,16-Mar-20,9.6,8.8,5.8,402,90,,,base going,24-Apr-20,10.9,9.4,5.9,500,90,,,,27-May-20,12.2,9.2,5.7,529,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,10,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,9,6.3,6.1,275,95,,,,06-Jan-20,8.5,7,6,286,100,,,,20-Jan-20,9.2,7.4,6,324,100,,,,03-Feb-20,9.9,7.2,6.3,351,100,,,,17-Feb-20,10.29,7.37,6.12,368,100,,,,02-Mar-20,10.9,8,6.3,438,100,,,,16-Mar-20,10.8,7.7,7.1,462,100,,,,24-Apr-20,10.6,7.7,7.1,457,100,,,,27-May-20,1,1,1,1,10,,,dead (not),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,11,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,7.4,4.8,3.6,101,100,,,,06-Jan-20,7.3,4.7,3.8,105,100,,,,20-Jan-20,7.8,5.3,4.6,149,100,,,,03-Feb-20,7.8,5.5,4.4,151,100,,,,17-Feb-20,8.07,5.87,4.43,168,100,,,,02-Mar-20,8.8,6.2,4.8,209,100,,,,16-Mar-20,9.6,6.6,5.2,258,100,,,,24-Apr-20,9.7,7.2,5.2,294,95,,,,27-May-20,10.7,7.6,5,332,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,12,Acropora verweyi,Table,,T2: One month electricity only,23-Dec-19,11.7,7.1,6,398,95,,,"check length, width1 and width2",06-Jan-20,12,7.6,6,436,95,,,recovered,20-Jan-20,12.3,7.3,6.2,440,95,,,,03-Feb-20,12.1,7.9,6.2,477,90,,,,17-Feb-20,12.32,7.71,6.42,483,95,,,,02-Mar-20,12.2,7.7,6.9,508,95,,,,16-Mar-20,11.5,7.7,6.9,478,95,,,,24-Apr-20,12.7,8.7,7.1,624,95,,,,27-May-20,12.8,8.6,5.8,518,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,13,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,8.4,5.7,3,123,100,,,,06-Jan-20,8.2,5.6,3.3,126,100,,,,20-Jan-20,8,5.9,3.3,133,95,,,,03-Feb-20,8.5,6.1,3.5,155,100,,,,17-Feb-20,8.52,6.21,4.7,199,100,,,,02-Mar-20,9.4,6.8,4.4,231,100,,,,16-Mar-20,9.5,6.8,5.3,273,100,,,,24-Apr-20,10.1,7.4,5.7,338,95,,,,27-May-20,10.1,7.2,5.4,314,95,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,14,Porites cylindrica,Table,,T2: One month electricity only,23-Dec-19,6.9,6.2,5.2,175,95,,,,06-Jan-20,7.3,6.5,5.1,192,100,,,,20-Jan-20,7.3,6.5,5.2,196,90,,,angle; Base dying,03-Feb-20,7.6,6,5.8,204,90,,,,17-Feb-20,7.64,5.49,6.04,199,85,,,,02-Mar-20,8,5.2,6.1,201,85,,,base dying,16-Mar-20,8.8,5.3,6.2,227,90,,,tiny bleach,24-Apr-20,8.5,5.6,6.7,252,90,,,,27-May-20,8.5,5.2,6.9,243,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,15,Pocillopora verrucosa,Table,,T2: One month electricity only,23-Dec-19,5.6,4.2,4.6,84,100,,,,06-Jan-20,5.7,5.2,5.2,119,100,,,,20-Jan-20,6.3,4.8,5.4,128,100,,,,03-Feb-20,6.7,5.1,5.5,147,100,,,,17-Feb-20,6.92,5.99,5.38,176,100,,,,02-Mar-20,7.3,5.7,5.5,179,100,,,,16-Mar-20,7.4,6,6,207,100,,,,24-Apr-20,7.3,6.1,6,208,100,,,,27-May-20,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,13,16,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,7.7,3.2,3.8,73,90,,,,06-Jan-20,8.4,3.5,4.1,95,100,,,,20-Jan-20,8.4,3.5,4.1,96,95,,,,03-Feb-20,9.1,3.7,4.1,108,95,,,,17-Feb-20,9.62,3.86,4.13,121,100,,,,02-Mar-20,10.4,4.2,4.7,161,100,,,,16-Mar-20,10.4,4.2,5,172,100,,,,24-Apr-20,10.9,4.4,5.1,194,100,,,,27-May-20,11.5,4.8,4.9,211,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion,Firefly,14,1,Millepora sp,Table,,T2: One month electricity only,23-Dec-19,8.2,4.9,3,101,100,,,,06-Jan-20,8.4,5,3,104,100,,,,20-Jan-20,8.6,5,4,135,100,,,check width2,03-Feb-20,8.6,5,3.6,124,100,,,,17-Feb-20,8.83,5.07,3.8,136,100,,,,02-Mar-20,9.1,5.2,3.9,147,100,,,,16-Mar-20,9,5.6,4,163,100,,,,24-Apr-20,9.2,5.4,4.6,179,90,,,,27-May-20,9.5,5.6,4.3,183,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
